ms num	title [nt.= no title]	tibetan script	extent	ms/xyl	lang/script	dimension	subject - 1	subject - 2
269	Rgyal chen rtse'i gzhi bdag gtor 'bul bzhugs s+ho	རྒྱལ་ཆེན་རྩེའི་གཞི་བདག་གཏོར་འབུལ་བཞུགས་སྷོ།	4 ff	ms	bo-Latn-x-EWTS	26 x 9	Prayers.	Buddhism--Prayers and devotions.
270	Zhabs brtan gsol 'debs 'chi med grub pa'i bden tshig ces bya ba bzhugs so	ཞབས་བརྟན་གསོལ་འདེབས་འཆི་མེད་གྲུབ་པའི་བདེན་ཚིག་ཅེས་བྱ་བ་བཞུགས་སོ།	2 ff	xyl	bo-Latn-x-EWTS	31 x 9	Buddhism--Prayers and devotions.	Buddhism--Prayers and devotions. 
271	Zab lam bde gshegs kun 'dus kyi khrid yig zin ris su byas pa sgom don gsal ba'i me long las/ sngon 'gro'i khrid yig bzhugs so	ཟབ་ལམ་བདེ་གཤེགས་ཀུན་འདུས་ཀྱི་ཁྲིད་ཡིག་ཟིན་རིས་སུ་བྱས་པ་སྒོམ་དོན་གསལ་བའི་མེ་ལོང་ལས།   སྔོན་འགྲོའི་ཁྲིད་ཡིག་བཞུགས་སོ།	39 ff	xyl	bo-Latn-x-EWTS	35 x 10	Spiritual life--Buddhism.	
272	Bde gshegs kun 'dus sku gsum thugs thig gi sngon 'gro bzhugs so	བདེ་གཤེགས་ཀུན་འདུས་སྐུ་གསུམ་ཐུགས་ཐིག་གི་སྔོན་འགྲོ་བཞུགས་སོ།	9 + 4 ff	xyl	bo-Latn-x-EWTS	36 x 10	Ritual.	Buddhism--Rituals--Texts.
273	Rdzogs chen che chos bla yi man ngag bcud: thugs thig bskor bzhi'i gter srung mchod sprin bzhugs so	རྫོགས་ཆེན་ཆེ་ཆོས་བླ་ཡི་མན་ངག་བཅུད༔   ཐུགས་ཐིག་བསྐོར་བཞིའི་གཏེར་སྲུང་མཆོད་སྤྲིན་བཞུགས་སོ།	4 ff	xyl	bo-Latn-x-EWTS	35 x 10	Prayers.	Buddhism--Prayers and devotions.
274	Rdo rje gling pa'i gter byon rtsa gsum spyi'i bskong bsdus bzhugs so	རྡོ་རྗེ་གླིང་པའི་གཏེར་བྱོན་རྩ་གསུམ་སྤྱིའི་བསྐོང་བསྡུས་བཞུགས་སོ།	4 ff	xyl	bo-Latn-x-EWTS	36 x 10	Prayers.	Buddhism--Prayers and devotions.
275	Mkha' 'gro'i gtor 'bul bzhugs so	མཁའ་འགྲོའི་གཏོར་འབུལ་བཞུགས་སོ།	3 ff	xyl	bo-Latn-x-EWTS	37 x 9	Ritual.	Buddhism--Rituals--Texts.
276	Bla ma mchod pa'i cho ga zhes bya ba bzhugso	བླ་མ་མཆོད་པའི་ཆོ་ག་ཞེས་བྱ་བ་བཞུགསོ།	21 ff folded, sewn	ms	bo-Latn-x-EWTS	26 x 11	Prayers.	Buddhism--Prayers and devotions.
277	Rje btsun rdo rje rnal 'byor ma'i zhi ba'i sbyin sreg man ngag bdud rtsi'i yang snying zhes bya ba bzhugs so	རྗེ་བཙུན་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་ཞི་བའི་སྦྱིན་སྲེག་མན་ངག་བདུད་རྩིའི་ཡང་སྙིང་ཞེས་བྱ་བ་བཞུགས་སོ།	11 ff	ms	bo-Latn-x-EWTS	35 x 10	Ritual.	Buddhism--Rituals--Texts.
278	Chog kyong 'bar ba spun bdun gyis sangs chod zhugso	ཆོག་ཀྱོང་འབར་བ་སྤུན་བདུན་གྱིས་སངས་ཆོད་ཞུགསོ།	6 ff	ms	bo-Latn-x-EWTS	26 x 7	Ritual.	Buddhism--Rituals--Texts.
279	nt 1v OM hri: Sh+Ti wi kyi tA na na hUM phaT	ཨོཾ་ཧྲི༔   ཥྚི་ཝི་ཀྱི་ཏཱ་ན་ན་ཧཱུཾ་ཕཊ།	21 ff folded, sewn	ms	bo-Latn-x-EWTS	29 x 10	Ritual.	Buddhism--Rituals--Texts.
280	Der nye bar go ba bshags pa'i rim rnams bzhugs s+ho	དེར་ཉེ་བར་གོ་བ་བཤགས་པའི་རིམ་རྣམས་བཞུགས་སྷོ།	8 ff	ms	bo-Latn-x-EWTS	32 x 8	Confession.	Buddhism--Prayers and devotions.
281	nt Gsol 'debs byin rlabs char 'bebs zhes bya ba bzhugs so	གསོལ་འདེབས་བྱིན་རླབས་ཆར་འབེབས་ཞེས་བྱ་བ་བཞུགས་སོ།	1 ff	xyl	bo-Latn-x-EWTS	31 x 9	Prayers.	Buddhism--Prayers and devotions.
282	Mkha' spyod bgrod pa'i man ngag thun mong ma yin pa'i zhal shes chig brgyud ma bzhugs so	མཁའ་སྤྱོད་བགྲོད་པའི་མན་ངག་ཐུན་མོང་མ་ཡིན་པའི་ཞལ་ཤེས་ཆིག་བརྒྱུད་མ་བཞུགས་སོ།	4 ff	xyl	bo-Latn-x-EWTS	30 x 8	Rnying-ma-pa (Sect)--Doctrines.	Buddhism--Doctrines.
283	Dpal 'bar ma ning gi gsol kha rig pa'i rang rtsal zhes bya ba bzhugs so	དཔལ་འབར་མ་ནིང་གི་གསོལ་ཁ་རིག་པའི་རང་རྩལ་ཞེས་བྱ་བ་བཞུགས་སོ།	4 ff	ms	bo-Latn-x-EWTS	35 x 10	Ritual.	Buddhism--Rituals--Texts.
